,DEPARTAMENTO,PROVINCIA,DISTRITO,Ollanta1,Ollanta2,key,redpub_porc,dni_porc,elec_porc,salud_porc,edu_porc,trabajo_porc,Ollanta_1a_Vuelta,Ollanta_2a_Vuelta,estado_dni,estado_salud,estado_agua,estado_electricidad,ciudadania_educacion,ciudadania_trabajo,presencia_estado
839,HUANCAVELICA,TAYACAJA,COLCABAMBA,0.7592861288450378,0.85322769190804,TAYACAJA_COLCABAMBA,3.093812375249501,95.89374331030457,67.46506986027944,49.16531245383366,21.54147063487868,4.497250589159465,mas75%,mas75%,3,2,1,2,<25%,<25%,1.Baja
840,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,0.6852599098029908,0.7893270467209601,TAYACAJA_DANIEL HERNANDEZ,32.8484279680901,95.16194331983806,64.9929610511497,40.89417555373257,30.06108202443281,4.803352675693101,Mas50%,mas75%,3,2,2,2,25_50%,<25%,2.Media
841,HUANCAVELICA,TAYACAJA,HUACHOCOLPA,0.4642857142857143,0.565500406834825,TAYACAJA_HUACHOCOLPA,0.34602076124567477,95.40039708802118,40.7439446366782,43.08681672025724,38.24338624338625,6.489493201483312,<50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
842,HUANCAVELICA,TAYACAJA,HUARIBAMBA,0.7317749603803486,0.8203448275862069,TAYACAJA_HUARIBAMBA,7.825203252032519,96.02244997559785,53.8109756097561,37.63581620630973,23.175487465181057,1.6381507098653074,Mas50%,mas75%,3,2,1,2,<25%,<25%,1.Baja
843,HUANCAVELICA,TAYACAJA,NAHUIMPUQUIO,0.6416573348264277,0.7677165354330708,TAYACAJA_NAHUIMPUQUIO,4.293381037567084,95.53969669937555,66.7262969588551,39.03448275862069,28.05474095796676,1.1947431302270013,Mas50%,mas75%,3,2,1,2,25_50%,<25%,1.Baja
844,HUANCAVELICA,TAYACAJA,PAZOS,0.7579209683161268,0.8371749408983451,TAYACAJA_PAZOS,14.695945945945946,95.60466848770797,70.4954954954955,39.98136067101584,28.754813863928113,1.6876342436330163,mas75%,mas75%,3,2,1,2,25_50%,<25%,1.Baja
845,HUANCAVELICA,TAYACAJA,QUISHUAR,0.20161290322580644,0.4427710843373494,TAYACAJA_QUISHUAR,38.62660944206009,92.27642276422763,56.22317596566524,45.22292993630573,22.8149829738933,5.7591623036649215,<50%,<50%,3,2,2,2,<25%,<25%,2.Media
846,HUANCAVELICA,TAYACAJA,SALCABAMBA,0.4910025706940874,0.6142191142191142,TAYACAJA_SALCABAMBA,0.7479431563201197,94.25765017000379,32.01196709050112,50.205038078500294,23.115472958864064,8.51581508515815,<50%,Mas50%,3,2,1,2,<25%,<25%,1.Baja
847,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,0.67439293598234,0.7644927536231884,TAYACAJA_SAN MARCOS DE ROCCHAC,34.18013856812933,96.53824678950306,72.05542725173211,41.75515302935665,28.35034573592361,4.913678618857902,Mas50%,mas75%,3,2,2,2,25_50%,<25%,2.Media
848,HUANCAVELICA,TAYACAJA,SURCUBAMBA,0.5701612903225807,0.6539173349784084,TAYACAJA_SURCUBAMBA,0.46801872074883,91.8717375093214,26.911076443057723,51.68231611893583,25.16891891891892,9.496810772501773,Mas50%,Mas50%,3,2,1,2,25_50%,<25%,1.Baja
